,model,silhouette,feature
2,KMeans,0.24445870838550512,Transcriptome
3,HClust,0.20579675741265388,Transcriptome
1,Leiden,0.10363098705449639,Transcriptome
6,SpaGCN,0.056169441749464054,Transcriptome
4,BayesSpace (I),0.026603814917328057,Transcriptome
0,MIST,-0.012873356051824979,Transcriptome
5,BayesSpace (C),-0.02885376421248059,Transcriptome
1,Louvain,0.086746191557115,Transcriptome
0,MIST,0.2631635361321814,Transcriptome
6,SpaGCN,0.23443019095381565,Transcriptome
3,HClust,0.1927187971092969,Transcriptome
2,KMeans,0.18121104387390347,Transcriptome
1,Leiden,0.18080667503662962,Transcriptome
4,BayesSpace (I),0.10131763311965551,Transcriptome
5,BayesSpace (C),0.09333225741348733,Transcriptome
1,Louvain,0.1820593318763207,Transcriptome
0,MIST,0.6664364272903286,Transcriptome
3,HClust,0.4269240519901997,Transcriptome
2,KMeans,0.42134757024081454,Transcriptome
4,BayesSpace (I),0.2748113688991467,Transcriptome
6,SpaGCN,0.2443735385752275,Transcriptome
5,BayesSpace (C),0.24207531365202425,Transcriptome
1,Leiden,0.1400385194325998,Transcriptome
1,Louvain,0.1205892161226122,Transcriptome
0,MIST,0.2664696511521205,Transcriptome
1,Leiden,0.09510215094058223,Transcriptome
6,SpaGCN,0.08174995802820838,Transcriptome
5,BayesSpace (C),0.057069022872261135,Transcriptome
2,KMeans,0.044187857315689194,Transcriptome
4,BayesSpace (I),0.0367467136689948,Transcriptome
3,HClust,0.008073476566948004,Transcriptome
1,Louvain,0.1601947373073465,Transcriptome
0,MIST,0.3055805726692352,Transcriptome
2,KMeans,0.19644265284745158,Transcriptome
6,SpaGCN,0.11195158202655983,Transcriptome
3,HClust,0.09217337433446467,Transcriptome
1,Leiden,0.09009691167510125,Transcriptome
5,BayesSpace (C),0.06806181558367012,Transcriptome
4,BayesSpace (I),0.05600280833694514,Transcriptome
1,Louvain,0.1392569093500426,Transcriptome
2,KMeans,0.13337756672902226,Transcriptome
4,BayesSpace (I),0.09845339938922458,Transcriptome
1,Leiden,0.08541399907083429,Transcriptome
6,SpaGCN,0.07804902242745158,Transcriptome
5,BayesSpace (C),0.07239286764657026,Transcriptome
3,HClust,0.03935791306428333,Transcriptome
0,MIST,-0.03226219237589537,Transcriptome
1,Louvain,0.0709855216431344,Transcriptome
0,MIST,0.26559355027298376,Transcriptome
2,KMeans,0.2500747482392546,Transcriptome
3,HClust,0.219047719484778,Transcriptome
6,SpaGCN,0.1189219714925803,Transcriptome
4,BayesSpace (I),0.08716996605928479,Transcriptome
1,Leiden,0.05337048220198732,Transcriptome
5,BayesSpace (C),-0.046092399260205405,Transcriptome
1,Louvain,0.0945375337553881,Transcriptome
2,KMeans,0.21525281611164532,Transcriptome
0,MIST,0.20583780456452613,Transcriptome
3,HClust,0.18619185353294732,Transcriptome
1,Leiden,0.1859329143800266,Transcriptome
6,SpaGCN,0.16724726331108783,Transcriptome
5,BayesSpace (C),0.09970198253184624,Transcriptome
4,BayesSpace (I),0.07273813402584847,Transcriptome
1,Louvain,0.1527465035311076,Transcriptome
0,MIST,0.2168128673627402,Transcriptome
2,KMeans,0.15038643674980443,Transcriptome
1,Leiden,0.10648816065966613,Transcriptome
3,HClust,0.1038499079691793,Transcriptome
4,BayesSpace (I),0.0774462946694629,Transcriptome
6,SpaGCN,0.06889514353514682,Transcriptome
5,BayesSpace (C),0.03145643310770768,Transcriptome
1,Louvain,0.1306584940989409,Transcriptome
2,KMeans,0.1852688031365808,Transcriptome
3,HClust,0.11685677184523827,Transcriptome
6,SpaGCN,0.07944493174587872,Transcriptome
0,MIST,0.046479587170883165,Transcriptome
1,Leiden,0.046109422245510824,Transcriptome
4,BayesSpace (I),0.0403822073395485,Transcriptome
5,BayesSpace (C),0.0025206536236407444,Transcriptome
1,Louvain,0.0239116990760139,Transcriptome
2,KMeans,0.04736461298521446,Transcriptome
4,BayesSpace (I),0.020956470501862983,Transcriptome
6,SpaGCN,0.013338965972247686,Transcriptome
0,MIST,-0.0020859315748224653,Transcriptome
3,HClust,-0.004815768477950535,Transcriptome
1,Leiden,-0.01888431776947865,Transcriptome
5,BayesSpace (C),-0.14446634874894104,Transcriptome
1,Louvain,-0.0307303013046086,Transcriptome
2,KMeans,-0.12856411917206212,Spatial
3,HClust,-0.11921693057480828,Spatial
1,Leiden,-0.24339432883610188,Spatial
6,SpaGCN,-0.13824700458843792,Spatial
4,BayesSpace (I),-0.10205526413209166,Spatial
0,MIST,0.25922409529338986,Spatial
5,BayesSpace (C),-0.12049781909340457,Spatial
1,Louvain,-0.1679993677569914,Spatial
0,MIST,0.00436930572452115,Spatial
6,SpaGCN,0.010006793740637829,Spatial
3,HClust,-0.027067812281421688,Spatial
2,KMeans,-0.0259626787406995,Spatial
1,Leiden,-0.06378988918851447,Spatial
4,BayesSpace (I),0.12124006953440877,Spatial
5,BayesSpace (C),0.05983912780692,Spatial
1,Louvain,0.015676162485787,Spatial
0,MIST,-0.04889460467460536,Spatial
3,HClust,0.05779988733317657,Spatial
2,KMeans,0.05515543031930318,Spatial
4,BayesSpace (I),0.09723484648282625,Spatial
6,SpaGCN,0.11602727790499358,Spatial
5,BayesSpace (C),0.1114020406692541,Spatial
1,Leiden,-0.1286680661868456,Spatial
1,Louvain,-0.1130602414374797,Spatial
0,MIST,0.5435350569890616,Spatial
1,Leiden,-0.03313984946407353,Spatial
6,SpaGCN,0.1944406995157484,Spatial
5,BayesSpace (C),0.026700266603618676,Spatial
2,KMeans,-0.022757555808172583,Spatial
4,BayesSpace (I),0.09549483326826509,Spatial
3,HClust,-0.03344859700946299,Spatial
1,Louvain,0.0647051768142398,Spatial
0,MIST,0.474394141385419,Spatial
2,KMeans,-0.15104734447045992,Spatial
6,SpaGCN,0.08563568861551117,Spatial
3,HClust,-0.12098920173077818,Spatial
1,Leiden,-0.10495766160289682,Spatial
5,BayesSpace (C),-0.05141175632759447,Spatial
4,BayesSpace (I),-0.01382721280446966,Spatial
1,Louvain,-0.0438225573504229,Spatial
2,KMeans,-0.09978376520897259,Spatial
4,BayesSpace (I),-0.06438823184257429,Spatial
1,Leiden,-0.28003751598689186,Spatial
6,SpaGCN,-0.10931780152382695,Spatial
5,BayesSpace (C),-0.08008530203247323,Spatial
3,HClust,-0.13204465451541952,Spatial
0,MIST,-0.038077723079184306,Spatial
1,Louvain,-0.2429180683940888,Spatial
0,MIST,0.1036257303431151,Spatial
2,KMeans,-0.014679803304035925,Spatial
3,HClust,-0.07001096803998236,Spatial
6,SpaGCN,0.2047694362488297,Spatial
4,BayesSpace (I),0.15036921977294487,Spatial
1,Leiden,-0.04118436507895187,Spatial
5,BayesSpace (C),0.009583404945554128,Spatial
1,Louvain,-0.0497310872651479,Spatial
2,KMeans,-0.011557148037649572,Spatial
0,MIST,0.2707892805490319,Spatial
3,HClust,-0.005848298165155191,Spatial
1,Leiden,0.01603587496059755,Spatial
6,SpaGCN,0.06139346230707392,Spatial
5,BayesSpace (C),0.11120408129139984,Spatial
4,BayesSpace (I),0.0809695477901674,Spatial
1,Louvain,0.0117254831739956,Spatial
0,MIST,0.35509694062403374,Spatial
2,KMeans,-0.028410060173162454,Spatial
1,Leiden,-0.04298868106483162,Spatial
3,HClust,-0.06229913196092007,Spatial
4,BayesSpace (I),0.028092142087414642,Spatial
6,SpaGCN,0.050808323060137314,Spatial
