,spot,x,y,rmse,pcc,snr,model,cvFold
7x15,7x15,7,15,1.2303051319928735,0.43949893203653684,3.577566171531636,spImpute,0
7x16,7x16,7,16,0.7684625695468975,0.483001333998277,4.0814841101094075,spImpute,0
7x17,7x17,7,17,0.8034118298414963,0.44997153868378664,4.063975956820475,spImpute,0
7x18,7x18,7,18,1.3903290703865503,0.4066462306671142,3.6445798985990843,spImpute,0
8x13,8x13,8,13,1.4050571781313383,0.46458959369326713,3.8214169673117797,spImpute,0
8x14,8x14,8,14,0.9005371451139285,0.5209248536053452,3.696247995072188,spImpute,0
8x15,8x15,8,15,0.8738838678183115,0.6131501339740105,3.779239381626435,spImpute,0
8x16,8x16,8,16,0.8409287123725917,0.5414442395350157,3.9979767241215347,spImpute,0
8x17,8x17,8,17,1.2601254652409362,0.5109484442338066,3.318663930037985,spImpute,0
8x18,8x18,8,18,0.7713703394083573,0.5043630843670879,3.9971769692483434,spImpute,0
8x19,8x19,8,19,0.7534760369718243,0.4992215710891241,4.123536597277072,spImpute,0
9x13,9x13,9,13,0.8887899281983744,0.4720325967811299,3.76405516288096,spImpute,0
9x14,9x14,9,14,0.8548806748897959,0.6827402170927133,3.821385405048707,spImpute,0
9x15,9x15,9,15,0.8532920421206638,0.6777198026703808,3.872971196372438,spImpute,0
9x16,9x16,9,16,0.9226210019305052,0.5471481565773149,3.6617065960751036,spImpute,0
9x17,9x17,9,17,1.4040834250669485,0.44511245694910206,3.5157034544515855,spImpute,0
9x18,9x18,9,18,0.7917585131197209,0.4325286717039123,4.006391037782355,spImpute,0
10x13,10x13,10,13,0.7580416295643495,0.45649761856376053,4.028732023456672,spImpute,0
10x15,10x15,10,15,0.7959922227889857,0.5422777498072155,3.9191918893561115,spImpute,0
10x16,10x16,10,16,0.7778131675237594,0.46152751248955504,3.9100902273160467,spImpute,0
10x17,10x17,10,17,0.9685096170720174,0.43745567586017403,3.7590485788067785,spImpute,0
10x18,10x18,10,18,0.8584890089893162,0.41743777424578093,3.9592832432169627,spImpute,0
11x12,11x12,11,12,0.8708495062814565,0.49128581663771437,4.0302189579935765,spImpute,0
11x13,11x13,11,13,1.1884323812542854,0.5862374333225702,3.5608027360914063,spImpute,0
11x14,11x14,11,14,0.8424084769608187,0.6728764240872475,3.8282439252345846,spImpute,0
11x15,11x15,11,15,0.8319120457913357,0.7064499373427432,3.8782770276873215,spImpute,0
11x16,11x16,11,16,1.3151165635660855,0.4531669343390998,3.4608049637854656,spImpute,0
11x17,11x17,11,17,0.8523349277020811,0.46707304134775823,3.8500495819472493,spImpute,0
12x12,12x12,12,12,0.8074355688130623,0.4600502884760096,3.8829056080675928,spImpute,0
12x13,12x13,12,13,0.847188735689515,0.5494893851757329,3.797890292378211,spImpute,0
12x14,12x14,12,14,0.7666056171495033,0.5890476017394576,3.899861416402156,spImpute,0
12x15,12x15,12,15,0.9339273881708824,0.6185144819281468,3.7408560923579204,spImpute,0
12x16,12x16,12,16,1.3791495120984256,0.6569740680452469,3.3997161289442124,spImpute,0
12x17,12x17,12,17,2.700398809479293,0.42917155828855347,2.5465289576735874,spImpute,0
13x11,13x11,13,11,0.7170420927466906,0.449950238425072,4.11246319651905,spImpute,0
13x12,13x12,13,12,0.8556519765001895,0.5659719381391719,3.7781971518822752,spImpute,0
13x13,13x13,13,13,0.9289291818706584,0.5824520137700052,3.740174755679949,spImpute,0
13x14,13x14,13,14,0.9896486889949478,0.5395230931934927,3.537377201996114,spImpute,0
13x15,13x15,13,15,0.830799464922363,0.572946311444183,3.8581505317066016,spImpute,0
13x16,13x16,13,16,0.9121544065916568,0.6829625091398296,3.776409871835336,spImpute,0
13x17,13x17,13,17,0.7938199904758344,0.4524568982961266,3.9852955550022586,spImpute,0
13x18,13x18,13,18,0.8053432560414049,0.5000464583388826,4.046501326397003,spImpute,0
14x7,14x7,14,7,1.4498394819128795,0.4862535689579569,3.2752686172387593,spImpute,0
14x8,14x8,14,8,1.118041896713033,0.5603063584420745,3.6635255620936396,spImpute,0
14x9,14x9,14,9,0.9778551747131399,0.46368189870712523,3.736155500510494,spImpute,0
14x10,14x10,14,10,0.8666466244243188,0.5770196481501901,3.760649493751193,spImpute,0
14x11,14x11,14,11,0.8058712151992848,0.5397340404581386,3.881957488631752,spImpute,0
14x12,14x12,14,12,0.794689135818282,0.589493061576747,3.9022719143060853,spImpute,0
14x13,14x13,14,13,0.8368309159314835,0.5044663916140382,3.8810626499484586,spImpute,0
14x14,14x14,14,14,0.8281160213464586,0.5662866316568222,3.8880559270385655,spImpute,0
14x15,14x15,14,15,0.7667093394041439,0.6273772329144203,4.040593806202715,spImpute,0
14x16,14x16,14,16,0.7972023094692685,0.7208272626126343,3.9213345035786102,spImpute,0
14x17,14x17,14,17,0.7462875173951492,0.4541987683980331,4.111728945081522,spImpute,0
14x18,14x18,14,18,0.9479554906981034,0.49243072999149246,3.8419383280802513,spImpute,0
15x5,15x5,15,5,0.7839334731735148,0.4746844973144361,4.040439819680096,spImpute,0
15x6,15x6,15,6,0.9075157053401524,0.4719761055034979,3.698483670005846,spImpute,0
15x7,15x7,15,7,0.8604479554631037,0.5551044816292758,3.801760437389966,spImpute,0
15x8,15x8,15,8,0.8885489193066916,0.4848004710693212,3.728077247711957,spImpute,0
15x9,15x9,15,9,0.8184454703363997,0.6662414205353502,3.8639451157806035,spImpute,0
15x10,15x10,15,10,0.9851817033750718,0.7408636111739407,3.8199363939628266,spImpute,0
15x11,15x11,15,11,0.8210216724532131,0.5633819896756586,3.9131745644203964,spImpute,0
15x12,15x12,15,12,0.8278793713451978,0.5344817332857852,3.876795672217308,spImpute,0
15x13,15x13,15,13,0.7078932123428266,0.6924294718294965,4.067381087274261,spImpute,0
15x14,15x14,15,14,0.8713489007546763,0.6212507935385461,3.764338849635103,spImpute,0
15x15,15x15,15,15,0.8859737622517476,0.5551809385337437,3.7511689999653637,spImpute,0
15x16,15x16,15,16,0.7509622481211785,0.7877730997860627,4.039227423519967,spImpute,0
15x17,15x17,15,17,0.9056053576924638,0.4899443348460616,3.687498008143588,spImpute,0
15x18,15x18,15,18,0.884278308401594,0.5077690853661792,3.9670166076350983,spImpute,0
16x3,16x3,16,3,0.7982670094637075,0.5351633880795976,4.036833776987238,spImpute,0
16x4,16x4,16,4,0.8379781120959369,0.46485884558315405,3.9559909260194455,spImpute,0
16x5,16x5,16,5,0.8911371772759858,0.5463537555301318,3.7225278118145138,spImpute,0
16x6,16x6,16,6,0.8159864461692897,0.5153847963939928,3.8858690277115095,spImpute,0
16x7,16x7,16,7,0.9034308129765755,0.6446726702758904,3.763300087690379,spImpute,0
16x8,16x8,16,8,0.8105103629540024,0.5205131526520343,3.8563478489010308,spImpute,0
16x9,16x9,16,9,0.9098840268183888,0.622409031058062,3.725883269963904,spImpute,0
16x10,16x10,16,10,0.9665685681071261,0.6145575126625865,3.6646006807416485,spImpute,0
16x11,16x11,16,11,0.8381873281036406,0.70684424132911,3.873949626019004,spImpute,0
16x12,16x12,16,12,0.8447922164136253,0.6718256689989228,3.867060514252486,spImpute,0
16x13,16x13,16,13,0.8603178981936809,0.6555375853294524,3.854857430104278,spImpute,0
16x14,16x14,16,14,0.9773797023838269,0.5898454610552464,3.501861117753614,spImpute,0
16x15,16x15,16,15,0.8805597240755173,0.7435540952721011,3.8031255296273536,spImpute,0
16x16,16x16,16,16,0.8446307461395155,0.534682949854155,3.8002246465517246,spImpute,0
16x17,16x17,16,17,0.9513286421591518,0.4393961167833455,3.776601993757574,spImpute,0
16x18,16x18,16,18,0.861071168504348,0.41380173789824787,3.8978794163065844,spImpute,0
16x19,16x19,16,19,1.5461354607007733,0.3764416847873376,3.8109192402082344,spImpute,0
17x4,17x4,17,4,0.9112895254004468,0.45169063967257905,3.844048249554016,spImpute,0
17x5,17x5,17,5,0.8228841146766865,0.5386296150546087,3.878312882312504,spImpute,0
17x6,17x6,17,6,0.8915387063402961,0.5443217002570577,3.7030255866567794,spImpute,0
17x7,17x7,17,7,0.8723460967869359,0.5093445929761803,3.7697554022318593,spImpute,0
17x8,17x8,17,8,0.8095843817462506,0.5480287691293492,3.99136364641294,spImpute,0
17x9,17x9,17,9,0.824520813567046,0.645304793232254,3.8896851889265345,spImpute,0
17x10,17x10,17,10,0.784525971516747,0.6648504071927729,3.979222555942497,spImpute,0
17x11,17x11,17,11,0.7564085925075654,0.7271341081001548,4.030394134671907,spImpute,0
17x12,17x12,17,12,0.7321568614909051,0.6202645656858473,4.018326663391982,spImpute,0
17x13,17x13,17,13,0.8282016011424944,0.613197465359809,3.8704450686598904,spImpute,0
