,spot,x,y,rmse,pcc,snr,model,cvFold
15x10,15x10,15,10,0.7408563484224548,0.6793373514926633,1.9535624943641823,spImpute,0
16x10,16x10,16,10,0.6589763958374061,0.7981129091604744,1.83986419083121,spImpute,0
17x10,17x10,17,10,0.6511465530653062,0.833910432403484,1.8764022526428457,spImpute,0
18x10,18x10,18,10,0.5907399475863127,0.8774226387019982,1.9551062172516132,spImpute,0
19x10,19x10,19,10,0.7154938878773504,0.7897746008938503,1.7915870535881775,spImpute,0
20x10,20x10,20,10,0.6331228044037498,0.8739688334696221,1.784676257365478,spImpute,0
21x10,21x10,21,10,0.6385903090951869,0.8609229741904857,1.9101675491656025,spImpute,0
22x10,22x10,22,10,0.6932378070023628,0.843867535491464,1.7195383019385129,spImpute,0
23x10,23x10,23,10,0.696647100471233,0.7516116584545632,1.9153320951925603,spImpute,0
24x10,24x10,24,10,0.6156703303659322,0.8018376824702004,1.9626655356699803,spImpute,0
25x10,25x10,25,10,0.6858762224493857,0.765679264887306,1.9406671076382467,spImpute,0
26x10,26x10,26,10,0.6863144248333463,0.8484683656381001,1.7620465638013945,spImpute,0
27x10,27x10,27,10,0.7488463426459386,0.7842025184316048,1.7045304239166568,spImpute,0
28x10,28x10,28,10,0.7475962804291085,0.7293196123505588,1.842437552950806,spImpute,0
29x10,29x10,29,10,0.7280752418709647,0.7043064303435248,1.8449527191663637,spImpute,0
30x10,30x10,30,10,0.7354824640174532,0.757233547924999,1.8490884196454203,spImpute,0
31x10,31x10,31,10,0.7997299291172907,0.6920288771527611,1.8044478981041727,spImpute,0
32x10,32x10,32,10,0.7250427281622903,0.8233622071335213,1.7352887703686584,spImpute,0
15x11,15x11,15,11,0.8112103062854343,0.6320717816459223,1.9395061348456986,spImpute,0
16x11,16x11,16,11,0.7360571403652356,0.7473189040286785,1.7785783497541128,spImpute,0
17x11,17x11,17,11,0.6715049182385133,0.8367621568452833,1.8250780100304813,spImpute,0
18x11,18x11,18,11,0.684656884710421,0.7516401279726462,1.9825512207560767,spImpute,0
19x11,19x11,19,11,0.624866313507719,0.7938669140274431,1.956702474873706,spImpute,0
20x11,20x11,20,11,0.7071893446983766,0.751227348320016,1.8813377830981513,spImpute,0
21x11,21x11,21,11,0.6316670853147328,0.858152481149255,1.8944475097024533,spImpute,0
22x11,22x11,22,11,0.7082445117054758,0.8324745671784969,1.7962810400866778,spImpute,0
23x11,23x11,23,11,0.6818146196010209,0.8645857647277321,1.8515497863387664,spImpute,0
24x11,24x11,24,11,0.6755202352396112,0.7769793394035337,1.862117339146128,spImpute,0
25x11,25x11,25,11,0.6803543570777233,0.7390376816611642,1.9909659740708479,spImpute,0
26x11,26x11,26,11,0.6868011687987305,0.7807831914145172,1.8242000261494953,spImpute,0
27x11,27x11,27,11,0.6674276134177831,0.7679975314642111,1.9039454218388294,spImpute,0
28x11,28x11,28,11,0.715164140436204,0.7814908634248149,1.738294915050889,spImpute,0
29x11,29x11,29,11,0.7451330846037503,0.7186918624917694,1.8378932930440488,spImpute,0
30x11,30x11,30,11,0.7939222179202564,0.6397753480784798,2.0039431858402446,spImpute,0
31x11,31x11,31,11,0.785838803402428,0.6728181703694873,1.8551958901520482,spImpute,0
32x11,32x11,32,11,0.9421083763194724,0.6178717941427525,1.7795437543600139,spImpute,0
15x12,15x12,15,12,0.7554718623493869,0.6614714793799765,1.8941579921661265,spImpute,0
16x12,16x12,16,12,0.7764066636941651,0.7012989645395743,1.8332349016208909,spImpute,0
