,spot,x,y,rmse,pcc,snr,model,cvFold
7x15,7x15,7,15,1.1914006515937419,0.45837332784310303,3.4544019028711666,MIST,0
7x16,7x16,7,16,0.7677448388495985,0.49778040729894985,3.9760884281464586,MIST,0
7x17,7x17,7,17,0.7991008965869864,0.46056574523034055,3.9840519556414846,MIST,0
7x18,7x18,7,18,1.324474908900248,0.42991373911506586,3.58159207548696,MIST,0
8x13,8x13,8,13,1.3250852104512127,0.48016949828699584,3.7471002554326076,MIST,0
8x14,8x14,8,14,0.8565540815703847,0.647527785857188,3.570001403176373,MIST,0
8x15,8x15,8,15,0.9525161282133296,0.645305339439308,3.4133152990859115,MIST,0
8x16,8x16,8,16,0.8385191433051783,0.5479915775473517,3.89122700120835,MIST,0
8x17,8x17,8,17,1.2328146138980374,0.5375602736693158,3.179245102482393,MIST,0
8x18,8x18,8,18,0.7707387702139878,0.5165564364784209,3.9018245588167546,MIST,0
8x19,8x19,8,19,0.7442811571527591,0.5121892840395592,4.05729324527378,MIST,0
9x13,9x13,9,13,0.8980605727582845,0.4896156204324934,3.619931978574884,MIST,0
9x14,9x14,9,14,0.9246395996500133,0.7322632636116599,3.5182928118175707,MIST,0
9x15,9x15,9,15,0.9166756731631098,0.7262191085910676,3.520773180770732,MIST,0
9x16,9x16,9,16,1.0461395374347435,0.6120465902846849,3.3798845012533882,MIST,0
9x17,9x17,9,17,1.3710022969514193,0.46041049023160796,3.381074581651035,MIST,0
9x18,9x18,9,18,0.8001897298286117,0.4520568138933253,3.894537991009287,MIST,0
10x13,10x13,10,13,0.7559968866642054,0.47039364107945036,3.929989661920938,MIST,0
10x15,10x15,10,15,1.0201931869117264,0.6568843525942668,3.328772279796749,MIST,0
10x16,10x16,10,16,0.7880463285117147,0.47952355590402573,3.7652591409907474,MIST,0
10x17,10x17,10,17,0.95290322476896,0.45058087179573575,3.656438158895308,MIST,0
10x18,10x18,10,18,0.8505685851485313,0.43589043791217774,3.8713485789932807,MIST,0
11x12,11x12,11,12,0.8663399108378481,0.499341252808143,3.9377392006056264,MIST,0
11x13,11x13,11,13,1.2198534245971693,0.6158617514151544,3.3798834502390016,MIST,0
11x14,11x14,11,14,0.8500998080983015,0.6956451065922967,3.711213157506664,MIST,0
11x15,11x15,11,15,0.8066838662875534,0.7419570451248062,3.7848302344811557,MIST,0
11x16,11x16,11,16,1.2621823812027346,0.4766220174793004,3.355774067856512,MIST,0
11x17,11x17,11,17,0.8525526381920462,0.4848663335340979,3.7313128879832913,MIST,0
12x12,12x12,12,12,0.8098387418114309,0.4765079061232429,3.755744440719542,MIST,0
12x13,12x13,12,13,0.8603903840031254,0.5936763039401124,3.66330774184497,MIST,0
12x14,12x14,12,14,0.7563774153437985,0.6284225660147251,3.785868822931855,MIST,0
12x15,12x15,12,15,0.896465853494138,0.6566372879521847,3.6347977325636767,MIST,0
12x16,12x16,12,16,1.3154689123527805,0.6935426237096745,3.264458933954586,MIST,0
12x17,12x17,12,17,2.5081682876351716,0.44616712170925305,2.4788863134669374,MIST,0
13x11,13x11,13,11,0.7172546748529834,0.4608555051938495,4.004771492237785,MIST,0
13x12,13x12,13,12,0.8385495702326564,0.6117506806968528,3.6839739757271075,MIST,0
13x13,13x13,13,13,0.9020417277911421,0.6339711700652311,3.64636670937767,MIST,0
13x14,13x14,13,14,1.0592929368111637,0.5603945483780901,3.365339788354973,MIST,0
13x15,13x15,13,15,0.8312314322712232,0.6076246110024108,3.723778302890511,MIST,0
13x16,13x16,13,16,0.9093615956502569,0.711466647531393,3.637082714683662,MIST,0
13x17,13x17,13,17,0.794847316461474,0.4637048430478767,3.863485957584479,MIST,0
13x18,13x18,13,18,0.7904977825163503,0.5130309723544257,3.9717552438167023,MIST,0
14x7,14x7,14,7,1.3856643058354516,0.5107701370819874,3.1826281616203844,MIST,0
14x8,14x8,14,8,1.0842432976685885,0.5870695276572188,3.555117104644853,MIST,0
14x9,14x9,14,9,0.9822944212343049,0.4780764801285543,3.6026732358800797,MIST,0
14x10,14x10,14,10,0.8798476835402368,0.6143206778331145,3.6256305925143777,MIST,0
14x11,14x11,14,11,0.8356570543386532,0.5948735963851242,3.6592323802289877,MIST,0
14x12,14x12,14,12,0.7922828266815599,0.6320039612622307,3.7612801891350616,MIST,0
14x13,14x13,14,13,0.828522190971595,0.5631992472507472,3.752285692831607,MIST,0
14x14,14x14,14,14,0.8372910958321275,0.604193769935823,3.745680379810813,MIST,0
14x15,14x15,14,15,0.7491161269449993,0.6723045551501354,3.9231022653644914,MIST,0
14x16,14x16,14,16,0.8557093833355851,0.7577374669350428,3.685095994740042,MIST,0
14x17,14x17,14,17,0.7465839166034647,0.46519706119475596,3.981258617425493,MIST,0
14x18,14x18,14,18,0.9533730945308545,0.5026664606097706,3.7096174003330615,MIST,0
15x5,15x5,15,5,0.780896308917059,0.48656127091883034,3.9477576975750996,MIST,0
15x6,15x6,15,6,0.9033682098725818,0.4834939218584496,3.588912873219894,MIST,0
15x7,15x7,15,7,0.8434383821882925,0.5942111695950829,3.6869570027035916,MIST,0
15x8,15x8,15,8,0.8722908054864758,0.5430697711299431,3.669088345123974,MIST,0
15x9,15x9,15,9,0.8150934434751855,0.7008328748729027,3.7345506974274185,MIST,0
15x10,15x10,15,10,0.7993328079405625,0.7747048480021587,3.8066104680635022,MIST,0
15x11,15x11,15,11,0.8841023002828438,0.6059862219049176,3.6918929568328673,MIST,0
15x12,15x12,15,12,0.8379546516933191,0.5869966205205202,3.7708497821856355,MIST,0
15x13,15x13,15,13,0.7230822009926449,0.7263401170320806,3.883951279952469,MIST,0
15x14,15x14,15,14,0.8656029896445421,0.6632383826519117,3.6409590487307124,MIST,0
15x15,15x15,15,15,1.1512494687842112,0.5911284245771147,3.5289991812641652,MIST,0
15x16,15x16,15,16,0.762406313126476,0.8057610669795858,3.8781474923628623,MIST,0
15x17,15x17,15,17,0.9130184140837188,0.5145731191043957,3.5481572105795802,MIST,0
15x18,15x18,15,18,0.8903154740094218,0.5198265975014817,3.859933089500143,MIST,0
16x3,16x3,16,3,0.8000920786325926,0.5442827342536832,3.935257810596917,MIST,0
