,spot,x,y,rmse,pcc,snr,model,cvFold
10x11,10x11,10,11,1.007555896909688,0.5819657478188209,3.1264014095730475,MIST,0
10x13,10x13,10,13,0.9533712918311692,0.42614511052589726,3.3710548454720763,MIST,0
10x19,10x19,10,19,0.9834350338842149,0.432069245907968,3.228968117352071,MIST,0
10x20,10x20,10,20,0.9876517582850446,0.3891743409007744,3.3264830052553815,MIST,0
10x21,10x21,10,21,1.0425613155698006,0.5642795936849007,3.1353931861399005,MIST,0
10x22,10x22,10,22,0.9323948158169925,0.5161695155654815,3.288485229726222,MIST,0
10x23,10x23,10,23,0.8934226856182136,0.5337334351501708,3.3721429094508957,MIST,0
10x24,10x24,10,24,0.919705032650139,0.5189261475875182,3.3224132932236135,MIST,0
10x25,10x25,10,25,1.078949949482921,0.5856374911507662,3.162072896494116,MIST,0
10x26,10x26,10,26,0.8997189841084361,0.5105961329799942,3.334687816158793,MIST,0
10x27,10x27,10,27,0.875581370770407,0.4928595979487124,3.4022950751416223,MIST,0
10x28,10x28,10,28,0.9685992960533908,0.46783114178239077,3.2580512820901952,MIST,0
11x10,11x10,11,10,1.0064604544872036,0.5525498841286516,3.1765660648367633,MIST,0
11x11,11x11,11,11,0.9767823457797761,0.5706646616004203,3.227741910373694,MIST,0
11x13,11x13,11,13,0.9536802917205576,0.4386068027669364,3.249700813049066,MIST,0
11x19,11x19,11,19,0.8854082097789239,0.4500342806058637,3.4516748493334033,MIST,0
11x20,11x20,11,20,1.04928218973137,0.4822396742591341,3.1226812610867674,MIST,0
11x21,11x21,11,21,0.8520519667388111,0.38888933596916225,3.496866861203843,MIST,0
11x22,11x22,11,22,1.0147123314736737,0.4625750771046824,3.3798418466851947,MIST,0
11x23,11x23,11,23,1.0646781434749322,0.554254223099715,3.102455587248316,MIST,0
11x24,11x24,11,24,0.9229500429982024,0.5559340060176213,3.281641827714839,MIST,0
11x25,11x25,11,25,0.8823574189015203,0.5119765814613573,3.3929993592688845,MIST,0
11x26,11x26,11,26,0.9398991358976955,0.4868448932336691,3.3137306464551974,MIST,0
11x27,11x27,11,27,0.9755059471234844,0.5400014442498839,3.2282131883744363,MIST,0
11x28,11x28,11,28,0.8852778648465442,0.5345831652169036,3.319475008707085,MIST,0
12x10,12x10,12,10,0.9591855091207904,0.6005469030664323,3.24612630916012,MIST,0
12x11,12x11,12,11,0.9308151109911728,0.5441802622789649,3.272370222480825,MIST,0
12x13,12x13,12,13,0.9524532571595379,0.4395876296537399,3.283437856690174,MIST,0
12x21,12x21,12,21,1.0232188636693553,0.45441319302963296,3.1882797580364786,MIST,0
12x22,12x22,12,22,0.9042764227587443,0.3876717160758007,3.4478613438894676,MIST,0
12x23,12x23,12,23,0.8529419087898534,0.4328512597245884,3.583740872636095,MIST,0
12x24,12x24,12,24,0.9326533092972352,0.5239603180480374,3.2990365095509304,MIST,0
12x25,12x25,12,25,0.9466741624040014,0.5286347144197155,3.263494124914402,MIST,0
12x26,12x26,12,26,1.0212247652210071,0.5428789407880089,3.21850627246533,MIST,0
12x27,12x27,12,27,0.890567590642951,0.5024762966483989,3.3557329282290373,MIST,0
12x28,12x28,12,28,0.9517084841702649,0.507008307794153,3.2501211038915447,MIST,0
12x29,12x29,12,29,0.8927915368236977,0.5290785615287898,3.368130631953895,MIST,0
13x10,13x10,13,10,1.0005283508451581,0.5955594853929085,3.1835770277255064,MIST,0
13x11,13x11,13,11,0.9269917349051265,0.5668431147714728,3.299437426744758,MIST,0
13x21,13x21,13,21,0.9760165332324693,0.3855114321674702,3.2867502287598267,MIST,0
13x22,13x22,13,22,0.9534882523429581,0.3680876884776364,3.3967705401013806,MIST,0
13x24,13x24,13,24,0.8970425141048392,0.41417040034200797,3.443679779918744,MIST,0
13x25,13x25,13,25,0.9691322628570652,0.4763912665756733,3.238886443279647,MIST,0
13x26,13x26,13,26,0.9795012369295715,0.44448134776577475,3.259632016249329,MIST,0
13x27,13x27,13,27,0.9311630438304752,0.45301519185351,3.3592967066361488,MIST,0
13x28,13x28,13,28,0.9790001567734209,0.46800771505979144,3.2472438880179992,MIST,0
13x29,13x29,13,29,0.8703104540169357,0.4916721022947499,3.395751368612049,MIST,0
13x30,13x30,13,30,0.8573479010485112,0.45741790211568645,3.501005376030961,MIST,0
13x9,13x9,13,9,0.8858094878518253,0.5893034638851027,3.3346846816660394,MIST,0
14x10,14x10,14,10,0.9691374094741785,0.5389825464639099,3.263639545911668,MIST,0
14x11,14x11,14,11,1.0368554556485434,0.4243181538529238,3.150757013277228,MIST,0
14x20,14x20,14,20,0.8484854228423333,0.3722147345987096,3.5657792776618558,MIST,0
14x21,14x21,14,21,0.9740074967277056,0.36930593452518923,3.2662892065169884,MIST,0
14x22,14x22,14,22,0.8553765239429508,0.40306564328613786,3.480416149935205,MIST,0
14x23,14x23,14,23,0.9798438580234471,0.4140860676593645,3.378294953334843,MIST,0
14x24,14x24,14,24,0.9147627420744928,0.38678958688412035,3.419013966172857,MIST,0
14x25,14x25,14,25,0.905864550779294,0.42518693542273667,3.4886570659581704,MIST,0
14x26,14x26,14,26,0.9432597800999233,0.4478482835878609,3.312042990357645,MIST,0
14x27,14x27,14,27,0.9836924171757082,0.5332305941532645,3.2300168725076643,MIST,0
14x28,14x28,14,28,0.9666751059105653,0.4983901793733237,3.246534683191297,MIST,0
14x29,14x29,14,29,0.9630613908130057,0.4917612394621934,3.242214647327782,MIST,0
