,spot,x,y,rmse,pcc,snr,model,cvFold
15x10,15x10,15,10,0.9862422057745273,0.38050355111306633,3.454499560949429,MIST,0
16x10,16x10,16,10,0.9559141545837332,0.4605947797339703,3.4009781687472023,MIST,0
17x10,17x10,17,10,1.0389440186218506,0.45356600168691646,3.3115189927753312,MIST,0
18x10,18x10,18,10,0.9709166785087812,0.5183807253588824,3.4013370531836733,MIST,0
19x10,19x10,19,10,1.0096335727680974,0.420320893698763,3.332242433109511,MIST,0
20x10,20x10,20,10,1.029641447017831,0.5432800834193926,3.2779015624501833,MIST,0
21x10,21x10,21,10,1.0732529831708095,0.4822933435920079,3.310184053049898,MIST,0
22x10,22x10,22,10,1.1426041316063815,0.45844270320574354,3.166006932661245,MIST,0
23x10,23x10,23,10,1.0028122360604976,0.4192512868853129,3.3962619085386594,MIST,0
24x10,24x10,24,10,1.5161727082026806,0.5508769542970247,2.91968403645632,MIST,0
25x10,25x10,25,10,1.8764402080884417,0.49349891423909203,2.8046694917543333,MIST,0
26x10,26x10,26,10,1.088778424875949,0.47987720749506857,3.2257228552773722,MIST,0
27x10,27x10,27,10,1.1260364850147158,0.4254027395901448,3.221816067674891,MIST,0
28x10,28x10,28,10,1.0916683065565373,0.3943589118412132,3.319198346898443,MIST,0
29x10,29x10,29,10,0.9778034882082108,0.37395184457126485,3.3899029445060878,MIST,0
30x10,30x10,30,10,1.0648304535432256,0.4077015053721395,3.339442525945365,MIST,0
31x10,31x10,31,10,1.04305937698927,0.37927965360622823,3.3499274808492734,MIST,0
32x10,32x10,32,10,1.1219592484644467,0.4636203955203764,3.2151948384049014,MIST,0
15x11,15x11,15,11,1.010135492773314,0.3909178421085207,3.4698438666516975,MIST,0
16x11,16x11,16,11,1.0563930917949877,0.3973013466835012,3.309821547206415,MIST,0
17x11,17x11,17,11,0.9866000728727266,0.4967473409480326,3.346314147347874,MIST,0
18x11,18x11,18,11,0.9363457118842494,0.5251877909708549,3.5203073683941817,MIST,0
19x11,19x11,19,11,0.8946809682736947,0.4859396847072557,3.535395411518769,MIST,0
20x11,20x11,20,11,0.9866386191274803,0.4675207153685973,3.3863473310651457,MIST,0
21x11,21x11,21,11,1.0380961657358563,0.4841154175223892,3.3115528585075564,MIST,0
22x11,22x11,22,11,1.0328187566767013,0.5088713936419113,3.3247051685401665,MIST,0
23x11,23x11,23,11,1.0269050011844727,0.5139538125283245,3.3706251601080375,MIST,0
24x11,24x11,24,11,0.9265387067906268,0.4926286794067817,3.4295201509166318,MIST,0
25x11,25x11,25,11,1.401431980012513,0.45896441754904477,3.1499855280007827,MIST,0
26x11,26x11,26,11,1.6257867125144536,0.46972786263239646,2.8584524573402175,MIST,0
27x11,27x11,27,11,1.0471971606960864,0.4003900154792236,3.3822596406537966,MIST,0
28x11,28x11,28,11,1.0470159951957605,0.4107613354829161,3.2679610551837928,MIST,0
29x11,29x11,29,11,1.0617738179898728,0.38228939327176004,3.345585340119584,MIST,0
30x11,30x11,30,11,0.9607931999524625,0.4412466592605161,3.5654171935775936,MIST,0
31x11,31x11,31,11,1.0803340601851548,0.35693935981037495,3.3691941938209267,MIST,0
32x11,32x11,32,11,1.1618362354505163,0.39896564907052817,3.3445585032193486,MIST,0
15x12,15x12,15,12,0.9957899672309883,0.3649270432894709,3.4258440266865606,MIST,0
16x12,16x12,16,12,1.0569717842934316,0.3683882861177462,3.339344698322899,MIST,0
17x12,17x12,17,12,1.0577789278172505,0.38706747468341324,3.2811573328373917,MIST,0
