,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
7x15,1.4403942,-2.6943207,-4.4576077,-3.7933054,6.7334366,-9.7934065,-2.1467435,5.842693,-1.3728925,-0.26484367,-6.702012,4.421567,-0.896992,0.4348334,-3.340124,3.2505507,-6.2574463,5.9804053,-4.884791,4.9210405,0.7017277,-5.3844543,-0.24765056,1.2635033,-10.223663,-0.3303664,2.7452064,5.2965727,5.5994124,-3.9282653
7x16,1.7412798,-3.1378005,-3.7200658,-3.544456,4.5826693,-9.63673,-3.5338783,6.5856757,-1.5325612,-0.22667879,-5.4676814,3.1789608,0.33637,0.17480516,-4.11389,3.2064166,-5.347047,5.7859697,-4.620121,3.6845071,0.72661984,-5.933865,-0.30173123,1.5676684,-10.594964,-0.29372638,1.7235525,5.0241866,6.896844,-2.1017334
7x17,2.1178303,-3.6617208,-2.8468602,-3.5929236,4.3750024,-9.139069,-4.0591063,6.855854,-1.6395247,-0.0032778978,-4.919077,2.8113422,0.6504804,0.8078838,-4.880817,2.524796,-4.145654,5.1560106,-3.9558315,3.5739207,1.0013676,-5.501672,-0.5851628,0.9513665,-11.181027,-0.25037152,2.3088384,4.94514,7.4777894,-1.98512
7x18,2.534833,-4.988536,-3.0215015,-3.344811,1.5448818,-7.4240346,-7.001238,9.861417,-0.48046902,2.1586833,-4.6378546,1.298954,3.1456504,0.8945341,-7.0964394,2.3087416,-2.371459,3.3495946,-2.702433,-0.5590658,3.5262728,-4.3521333,-1.9838696,0.468835,-11.076463,0.876583,0.2761745,3.7591028,9.112541,-0.049226344
8x13,1.7866595,-5.7623997,-5.254508,-4.524572,9.001197,-2.8235536,3.636545,8.006432,5.249352,7.1503,-5.6271405,5.8476086,-3.6785562,-0.18919808,-9.698877,9.495827,-4.21646,3.5721786,-2.019145,-1.9576044,1.2620792,-0.47232878,1.3751318,4.472168,-7.5928297,2.0372677,0.8848562,5.8017144,4.2735243,-1.0195985
8x14,1.831524,-3.133013,-5.2545424,-4.757796,8.364759,-5.0720177,0.89061964,7.301734,2.6317458,3.1488686,-6.458106,6.131156,-3.4225202,-0.2990567,-7.099916,7.089741,-5.249293,6.107797,-3.4081945,1.1947768,1.230008,-2.3147771,-0.27619553,2.4605541,-8.051989,1.4321741,2.0653307,6.317976,3.9751358,-3.7999156
8x15,1.7008905,-2.7663002,-4.8294296,-4.527785,7.50329,-7.3164854,-0.13082576,7.054033,1.2048391,2.2712946,-6.2175336,5.9723825,-2.9546165,0.35219282,-5.2120337,5.2767324,-5.7742434,6.4993043,-4.7672825,2.2395248,1.4259082,-3.3946178,0.18906546,1.9654279,-7.648936,1.9105756,1.718783,5.875063,4.6189947,-3.5261402
8x16,1.8749597,-3.324101,-3.2750587,-3.8854175,7.0621357,-9.152643,-1.4195749,6.1643248,-0.80900276,1.1413242,-5.0328064,4.9203997,-1.8400059,1.5843394,-4.7769117,2.3144567,-4.7004447,5.628256,-4.4999647,3.984825,1.0367151,-4.20886,0.47655433,1.2456154,-9.791976,-0.02919513,2.873537,5.676085,5.887734,-3.392686
8x17,3.1073668,-4.491331,-1.3905679,-4.2910566,5.730049,-7.725272,-2.2582946,8.563554,-0.4359364,4.074505,-3.4306653,5.2188296,-2.377875,1.6540985,-8.441636,0.8140528,-2.0397527,3.5104985,-3.1236541,0.7395365,3.9905174,-3.1966357,0.59262425,1.2548809,-8.086219,1.2063057,2.6749306,5.465721,6.544335,-2.41601
8x18,4.2248087,-5.508029,-1.0964234,-4.2711406,3.4457216,-5.0145817,-4.897979,10.312172,-0.01491037,4.726623,-4.08566,4.042885,-0.058576107,0.55054885,-10.009748,0.6442461,-0.27130616,1.4109852,-1.7353787,-1.2024845,5.473095,-2.1940284,-0.9991927,0.7971746,-8.424697,1.6659728,2.1420376,4.506035,8.051571,-1.5684988
