,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10x14,9.225468,-1.2864896,-8.284923,-3.8129878,2.0270796,-6.3088226,3.3387904,10.509728,-5.9451494,7.2042046,1.2606928,4.5164237,0.98036814,-3.1688223,-3.5519195,3.3088725,-7.8282413,0.7697157,-3.4117322,-4.119599,13.0461235,-11.411463,-5.348221,-3.0173428,-1.4258085,5.204245,0.41102362,5.4512024,3.4003832,-3.787444
10x15,7.9735045,-1.555531,-9.187976,-3.6892066,2.8139658,-7.5922537,1.9898746,10.508124,-4.734534,8.462472,1.1796179,4.832771,-0.955721,-2.3773355,-3.9346333,3.6471648,-8.397789,-0.01276052,-3.2577198,-3.4463046,13.139378,-10.714181,-5.388232,-2.8791492,-2.9184947,4.847396,0.10279536,4.9665904,3.0644665,-3.3701925
10x16,6.3387356,-2.2027946,-8.565919,-3.0025759,2.286543,-8.001,1.4924791,10.2017765,-4.3708997,9.678091,1.0820396,4.447297,-1.2346125,-1.8268135,-4.038419,3.5005834,-8.461855,-0.6165575,-3.545224,-3.4962578,13.378935,-11.359871,-5.518144,-3.517201,-2.837049,5.123596,0.05713117,4.6340837,2.7333949,-3.26504
10x17,5.863017,-2.7459912,-9.226295,-3.1110082,2.3161209,-8.233571,0.5748161,9.715623,-4.131443,10.50271,0.910697,4.170911,-2.2165742,-1.666917,-3.9261029,4.251175,-8.434628,-1.3292418,-3.4674783,-3.2432046,13.701518,-11.205135,-6.104646,-3.5549076,-4.2769938,5.441057,-0.18559062,4.1723337,2.6764665,-2.5573714
10x19,5.8998203,-3.6817415,-7.92404,-4.5895824,0.6966553,-5.8951755,0.74976075,10.131273,-3.988477,8.928019,-0.54449904,4.3697853,-0.8529731,-3.6696005,-2.1456761,4.3489685,-7.7732315,-2.9829514,-2.080586,-4.7645264,15.6150255,-9.308379,-6.5373964,-1.5796111,-4.1302204,7.1139894,-0.11150384,6.1015725,3.525841,-2.270278
10x2,8.657303,-1.3561977,-7.1939335,-3.6677208,2.4317598,-4.842206,1.1767389,11.180162,-4.1230927,11.576078,3.6829162,6.013993,-2.3638916,-3.6499913,-2.729034,2.9917965,-8.141728,-3.3971152,-2.5840902,-5.34363,14.310591,-12.42144,-5.032548,-2.2961395,-3.3280025,4.4542675,0.25174403,9.86562,4.5177255,-3.760581
10x21,6.4340973,-2.9533274,-7.9004664,-5.3886833,-1.1306396,-4.389198,-0.0054166913,11.377698,-3.8396013,9.131082,-0.73472726,6.3384314,-1.7593867,-3.2654123,-1.4886212,4.0613775,-7.306222,-2.4250438,-2.285798,-5.4755745,15.297741,-9.141851,-5.863843,-1.5309324,-3.39658,7.4142556,-0.29178524,7.581868,4.4652853,-3.199502
10x22,6.8799777,-1.1249533,-7.9314213,-4.7349153,0.2795558,-4.9100747,0.27114373,11.986944,-4.481112,9.750402,1.0857186,6.8056674,-2.798215,-2.5854578,-2.206079,3.3437533,-7.4855623,-1.2442435,-2.0078738,-6.324435,14.768169,-9.788887,-5.474438,-2.0532854,-2.7741623,5.7613673,0.57218385,9.197145,3.5513515,-2.7313695
10x23,7.2694416,-0.86608917,-7.4824085,-4.3068037,0.62532973,-4.82128,0.2877342,11.4120455,-4.6298623,10.053447,1.5620558,6.7865486,-2.9504423,-2.7151065,-2.7151747,3.8904438,-7.4093223,-1.5822201,-2.2828317,-6.3973536,13.714785,-11.432387,-6.3111186,-2.0466936,-2.8922539,6.141107,0.77250767,8.938717,4.202965,-2.9803135
10x24,7.656095,-0.2624414,-6.555133,-3.608695,1.4185219,-5.405247,0.8779422,10.412826,-5.0301304,10.7511215,2.0981832,7.007591,-3.1973748,-2.692222,-2.8546424,3.8753889,-7.8035603,-2.1697826,-3.0325103,-6.861822,13.595369,-12.278962,-6.749059,-1.9053165,-3.5262208,5.951712,1.1133504,8.849452,4.2728395,-2.7145805
