,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10x11,8.094383,-8.220326,-4.487058,1.5312811,4.831085,0.276536,4.665297,15.244781,-7.089245,5.5165353,1.7452453,7.8047733,-6.0998907,-2.0490446,-5.594643,11.318518,-5.0901675,-1.9024367,-6.7995977,0.26697946,9.684825,-1.4992249,6.365528,-3.090114,-7.0931225,3.1288242,3.1284232,5.3674746,6.786678,-3.513244
10x13,8.09635,-9.535751,-5.5812006,2.095481,1.688847,-0.6632757,4.7613134,15.411375,-7.5180626,3.8438623,1.1120989,6.748659,-5.1254873,-0.763091,-5.148651,7.599785,-7.04488,-2.8206646,-7.244082,2.2661057,7.611183,-0.82473636,4.9949417,-2.0876064,-8.247789,3.8559396,4.4828224,5.6014347,7.840781,-3.6205673
10x19,5.86271,-7.962137,-3.4413693,0.50207484,4.14689,0.32144442,4.7301083,15.269515,-8.00735,4.3201084,1.7595965,7.6862144,-7.2001276,1.3443934,-4.7678685,11.709707,-2.8500195,-1.1747359,-6.4018764,0.32741147,7.975266,-2.4371772,6.879851,-2.3229363,-7.852504,3.5652564,4.099416,5.1671777,6.876776,-4.067026
10x20,6.2184286,-8.468893,-3.481355,0.6962235,4.218913,0.4019221,4.5292153,14.889756,-8.123075,4.7152357,1.8076973,7.5111,-7.096942,1.1462543,-4.681881,11.264238,-3.286996,-1.0459934,-6.523467,0.17566419,8.006378,-2.1197476,7.0875754,-2.3019953,-8.037013,3.406425,4.307472,5.104226,6.987135,-4.3290877
10x21,7.052083,-9.118132,-3.9266691,0.88264143,4.695405,0.36532474,4.701804,14.063537,-7.8896604,4.8331795,1.493429,7.1174507,-6.71826,0.09462589,-4.9600873,10.435601,-3.6113749,-1.35699,-7.1145043,-0.038948804,8.74604,-1.7109164,7.0108895,-2.2887688,-7.9030714,2.7137022,4.0846367,4.4882402,7.5279336,-4.700197
10x22,6.90589,-9.219407,-4.351676,0.8316703,4.797222,0.20247224,4.894939,13.974484,-8.058241,4.8357615,1.6482887,6.8563337,-7.002911,-0.12599581,-5.258069,10.151313,-3.9406261,-1.4689221,-7.6779003,0.124812186,8.415157,-1.6569536,7.318018,-2.391053,-8.058563,1.3927643,3.361263,4.2908583,7.591591,-4.4965925
10x23,6.9930487,-9.913595,-3.5021687,0.3502462,4.8900485,0.2149948,5.0839496,14.5901165,-7.5835443,4.5393414,0.9355601,6.84311,-6.883378,-0.09832674,-5.7843995,10.286386,-3.2879395,-1.84764,-8.252521,0.041017562,8.9864025,-0.92605305,6.773545,-2.7764804,-7.3686585,1.7389069,2.9017613,4.089855,7.634385,-4.697803
10x24,7.440197,-10.58094,-3.8745441,1.0425804,4.810413,0.30821225,5.6118965,15.770608,-6.8230143,4.9359055,2.0069342,6.6429186,-7.1982985,0.5768547,-6.145874,10.864296,-3.590496,-1.8363409,-8.203011,-0.34341502,9.476282,0.011383772,7.4458838,-2.6297295,-6.7428226,1.6338261,2.7226558,4.142152,7.1897635,-4.298006
10x25,7.847069,-11.018457,-3.3466067,1.7394992,4.891954,0.40498435,5.5441885,15.802765,-6.689392,4.890401,1.65022,6.3150845,-6.99588,0.72125494,-5.812445,10.777467,-3.3695345,-1.3145301,-7.7017717,-0.563134,9.59074,0.24222028,7.2100315,-2.5775583,-6.482557,2.0293307,2.970003,3.93081,7.1112223,-4.5781946
10x26,7.7782373,-10.99645,-3.150292,2.2868752,5.4536695,0.0063892007,5.937083,15.847105,-6.649538,5.177347,1.657218,6.4225516,-6.7060404,1.0301024,-5.547863,10.220717,-3.5341225,-1.013836,-7.8843584,-0.18775755,9.449051,-0.4316671,7.6906805,-2.3810732,-6.3878555,2.84457,3.4954572,4.208812,7.16464,-4.3295164
10x27,8.058689,-10.997629,-2.1579523,2.651719,5.6213784,0.73157305,5.7514615,15.886844,-6.726017,5.5126266,0.8310143,6.2024264,-6.2593513,1.0971091,-4.8781233,9.805037,-3.1209025,-1.2527177,-7.403748,-0.4352154,9.296647,-0.6278317,7.9003534,-2.3778355,-6.509986,3.8672657,3.5851398,3.936285,7.7705913,-4.961345
10x28,8.134815,-10.649031,-1.67387,3.4677873,5.887165,0.31970453,5.7760606,15.843795,-6.5151935,5.654802,1.2268794,5.7566223,-6.0360966,1.3198124,-4.730332,9.398836,-3.1511579,-1.6319544,-7.176132,-0.1398989,9.057611,-0.58593035,7.6903067,-2.207005,-6.8565416,4.8732166,3.7186675,3.8991942,8.585673,-5.601576
11x10,8.216635,-8.586414,-4.2185616,1.5393028,5.5417824,0.39832535,5.736393,15.030912,-6.398552,5.9963255,1.5126374,7.3163834,-7.57763,-1.9798108,-5.0250025,12.664434,-4.7698917,-2.5134654,-7.064436,-0.61325425,9.643942,-2.0840025,7.074792,-2.626687,-6.1899285,3.0259953,4.362069,5.61929,5.589444,-4.201632
