"","STAGATE"
"7x15",2
"7x16",2
"7x17",2
"7x18",2
"8x13",2
"8x14",2
"8x15",2
"8x16",2
"8x17",2
"8x18",2
"8x19",2
"9x13",2
"9x14",2
"9x15",4
"9x16",4
"9x17",1
"9x18",2
"10x13",2
"10x15",4
"10x16",1
"10x17",1
"10x18",1
"11x12",3
"11x13",3
"11x14",3
"11x15",4
"11x16",4
"11x17",1
"12x12",3
"12x13",3
"12x14",3
"12x15",3
"12x16",4
"12x17",1
"13x11",3
"13x12",3
"13x13",3
"13x14",3
"13x15",3
"13x16",4
"13x17",1
"13x18",1
"14x7",4
"14x8",4
"14x9",3
"14x10",4
"14x11",3
"14x12",3
"14x13",3
"14x14",3
"14x15",3
"14x16",4
"14x17",1
"14x18",1
"15x5",3
"15x6",3
"15x7",3
"15x8",4
"15x9",4
"15x10",3
"15x11",3
"15x12",3
"15x13",3
"15x14",3
"15x15",3
"15x16",4
"15x17",1
"15x18",1
"16x3",2
"16x4",4
"16x5",3
"16x6",3
"16x7",3
"16x8",3
"16x9",3
"16x10",3
"16x11",3
"16x12",3
"16x13",3
"16x14",3
"16x15",3
"16x16",4
"16x17",1
"16x18",1
"16x19",1
"17x4",4
"17x5",4
"17x6",3
"17x7",3
"17x8",3
"17x9",3
"17x10",3
"17x11",3
"17x12",3
"17x13",3
"17x14",3
"17x15",3
"17x16",4
"17x17",1
"17x18",1
"17x19",1
"17x20",1
"17x21",1
"18x4",1
"18x5",4
"18x6",4
"18x7",3
"18x8",3
"18x9",3
"18x10",3
"18x11",3
"18x12",3
"18x13",3
"18x14",3
"18x15",3
"18x16",4
"18x17",1
"18x18",1
"18x19",1
"18x20",1
"18x21",1
"18x22",1
"18x23",1
"18x24",1
"19x4",1
"19x5",1
"19x6",4
"19x7",3
"19x8",3
"19x9",3
"19x10",3
"19x11",3
"19x12",3
"19x13",3
"19x14",3
"19x15",3
"19x16",4
"19x17",1
"19x18",1
"19x19",1
"19x20",1
"19x21",1
"19x22",1
"19x23",1
"19x24",1
"19x25",1
"19x26",1
"19x27",1
"19x28",1
"20x5",1
"20x6",4
"20x7",3
"20x8",3
"20x9",3
"20x10",3
"20x11",3
"20x12",3
"20x13",3
"20x14",4
"20x15",4
"20x16",4
"20x17",1
"20x18",1
"20x19",1
"20x20",1
"20x21",1
"20x22",1
"20x23",1
"20x24",1
"20x25",1
"20x26",1
"20x27",1
"20x28",1
"21x6",3
"21x7",3
"21x8",3
"21x9",3
"21x10",3
"21x11",3
"21x12",3
"21x13",4
"21x14",4
"21x15",4
"21x16",1
"21x17",1
"21x18",1
"21x19",1
"21x20",1
"21x21",1
"21x22",1
"21x23",1
"21x24",1
"21x25",1
"21x26",1
"21x27",1
"21x28",1
"22x6",3
"22x7",3
"22x8",3
"22x9",3
"22x10",3
"22x11",3
"22x12",3
"22x13",4
"22x14",1
"22x15",1
"22x16",1
"22x17",1
"22x18",1
"22x19",1
"22x20",1
"22x21",1
"22x22",1
"22x23",1
"22x24",1
"22x25",1
"22x26",1
"22x27",1
"23x7",3
"23x8",3
"23x9",3
"23x10",3
"23x11",3
"23x12",3
"23x13",1
"23x14",1
"23x15",1
"23x16",1
"23x17",1
"23x18",1
"23x19",1
"23x20",1
"23x21",1
"23x22",1
"23x23",1
"23x24",1
"23x25",1
"23x26",1
"24x8",4
"24x9",4
"24x10",4
"24x11",3
"24x12",4
"24x13",1
"24x14",1
"24x15",1
"24x16",1
"24x17",1
"24x18",1
"24x19",1
"24x20",1
"24x21",1
"24x22",1
"24x23",1
"24x24",1
"24x25",1
"25x9",1
"25x10",1
"25x11",1
"25x12",1
"25x13",1
"25x14",1
"25x15",1
"25x16",1
"25x17",1
"25x18",1
"25x19",1
"25x20",1
"25x21",1
"25x22",1
"25x23",1
"25x24",1
"26x11",1
"26x12",1
"26x13",1
"26x14",1
"26x15",1
"26x16",1
"26x17",1
"26x18",1
"26x19",1
"26x20",1
"26x21",1
"26x22",1
"26x23",1
"27x14",1
"27x15",1
"27x17",1
"27x18",1
"27x19",1
"27x20",1
"27x21",1
"27x22",1
