"","STAGATE"
"15x10",1
"16x10",2
"17x10",2
"18x10",2
"19x10",2
"20x10",2
"21x10",2
"22x10",1
"23x10",3
"24x10",1
"25x10",1
"26x10",1
"27x10",1
"28x10",1
"29x10",1
"30x10",1
"31x10",1
"32x10",4
"15x11",1
"16x11",1
"17x11",2
"18x11",2
"19x11",2
"20x11",2
"21x11",3
"22x11",3
"23x11",3
"24x11",3
"25x11",3
"26x11",1
"27x11",3
"28x11",1
"29x11",1
"30x11",1
"31x11",4
"32x11",4
"15x12",1
"16x12",1
"17x12",1
"18x12",1
"19x12",1
"20x12",3
"21x12",3
"22x12",3
"23x12",3
"24x12",3
"25x12",3
"26x12",3
"27x12",3
"28x12",3
"29x12",3
"30x12",4
"31x12",4
"32x12",4
"14x13",4
"15x13",4
"16x13",3
"17x13",3
"18x13",3
"19x13",3
"20x13",3
"21x13",3
"22x13",3
"23x13",3
"24x13",3
"25x13",3
"26x13",3
"27x13",3
"28x13",3
"29x13",3
"30x13",3
"31x13",4
"32x13",4
"14x14",4
"15x14",4
"16x14",5
"17x14",3
"18x14",3
"19x14",3
"20x14",3
"21x14",3
"22x14",3
"23x14",3
"24x14",3
"25x14",3
"26x14",3
"27x14",3
"28x14",3
"29x14",3
"30x14",3
"31x14",4
"32x14",4
"13x15",4
"14x15",4
"15x15",4
"16x15",5
"17x15",5
"18x15",5
"19x15",3
"20x15",3
"21x15",3
"22x15",3
"23x15",3
"24x15",3
"25x15",3
"26x15",3
"27x15",3
"28x15",3
"29x15",3
"30x15",4
"31x15",4
"32x15",4
"13x16",4
"14x16",4
"15x16",5
"16x16",5
"17x16",5
"18x16",5
"19x16",5
"20x16",3
"21x16",3
"22x16",3
"23x16",3
"24x16",3
"25x16",3
"26x16",3
"28x16",3
"29x16",3
"30x16",3
"31x16",4
"32x16",4
"12x17",4
"13x17",4
"14x17",4
"15x17",5
"16x17",5
"17x17",5
"18x17",5
"19x17",5
"20x17",3
"21x17",3
"22x17",3
"23x17",3
"24x17",3
"25x17",3
"26x17",3
"27x17",3
"28x17",3
"29x17",3
"30x17",3
"31x17",3
"32x17",3
"12x18",4
"13x18",4
"14x18",4
"15x18",5
"16x18",5
"17x18",5
"18x18",5
"19x18",5
"20x18",3
"21x18",3
"22x18",3
"23x18",3
"24x18",3
"25x18",3
"26x18",3
"27x18",3
"28x18",3
"29x18",3
"30x18",3
"31x18",3
"32x18",3
"13x19",4
"14x19",4
"15x19",5
"16x19",5
"17x19",5
"18x19",5
"19x19",5
"20x19",3
"21x19",3
"22x19",3
"23x19",3
"24x19",3
"25x19",3
"26x19",3
"27x19",3
"28x19",3
"29x19",3
"30x19",3
"31x19",3
"32x19",3
"12x20",4
"13x20",4
"14x20",4
"15x20",5
"16x20",5
"17x20",5
"18x20",5
"19x20",5
"20x20",3
"21x20",3
"22x20",3
"23x20",3
"24x20",3
"25x20",3
"26x20",3
"27x20",3
"28x20",3
"29x20",3
"30x20",3
"31x20",3
"32x20",3
"13x21",4
"14x21",4
"15x21",5
"16x21",5
"17x21",5
"18x21",5
"20x21",3
"21x21",3
"22x21",3
"23x21",3
"24x21",3
"25x21",3
"26x21",3
"27x21",3
"28x21",3
"29x21",3
"30x21",3
"31x21",3
"32x21",3
"16x22",5
"17x22",5
"18x22",5
"19x22",3
"20x22",3
"21x22",3
"22x22",3
"23x22",3
"24x22",3
"25x22",3
"26x22",3
"27x22",3
"28x22",3
"29x22",3
"30x22",3
"31x22",3
"32x22",1
"17x23",4
"18x23",3
"19x23",3
"20x23",3
"21x23",3
"22x23",3
"23x23",3
"24x23",1
"25x23",1
"26x23",1
"27x23",1
"28x23",1
"29x23",1
"30x23",1
"31x23",1
"32x23",1
"17x24",4
"18x24",4
"19x24",3
"20x24",3
"21x24",3
"22x24",3
"23x24",1
"24x24",1
"25x24",1
"26x24",1
"27x24",1
"28x24",1
"29x24",1
"30x24",1
"31x24",1
"32x24",1
"17x25",4
"19x25",4
"20x25",4
"21x25",3
"22x25",4
"23x25",1
"24x25",1
"25x25",1
"26x25",1
"27x25",1
"28x25",1
"29x25",1
"30x25",1
"31x25",1
"32x25",1
"20x26",4
"21x26",4
"22x26",4
"23x26",4
"24x26",1
"25x26",1
"26x26",1
"27x26",1
"28x26",1
"29x26",1
"30x26",1
"31x26",1
"32x26",1
"22x27",4
"23x27",4
"24x27",4
"25x27",1
"26x27",1
"27x27",1
"28x27",1
"29x27",1
"30x27",1
"31x27",1
"32x27",1
"27x28",4
"28x28",4
"29x28",4
"30x28",4
"31x28",4
"32x28",4
"17x5",2
"18x5",2
"19x5",2
"20x5",2
"21x5",2
"22x5",1
"23x5",1
"24x5",1
"25x5",1
"26x5",1
"27x5",1
"16x6",2
"17x6",2
"18x6",2
"19x6",2
"20x6",2
"21x6",2
"22x6",1
"23x6",1
"24x6",1
"25x6",1
"26x6",1
"27x6",1
"28x6",1
"29x6",1
"15x7",1
"16x7",2
"17x7",2
"18x7",2
"19x7",2
"20x7",2
"21x7",2
"22x7",1
"23x7",1
"24x7",1
"25x7",1
"26x7",1
"27x7",1
"28x7",1
"29x7",1
"30x7",1
"31x7",4
"32x7",4
"15x8",1
"16x8",2
"17x8",2
"18x8",2
"19x8",2
"20x8",2
"21x8",2
"22x8",2
"23x8",1
"24x8",1
"25x8",1
"26x8",1
"27x8",1
"28x8",1
"29x8",1
"30x8",1
"31x8",1
"32x8",4
"15x9",1
"16x9",2
"17x9",2
"18x9",2
"19x9",2
"20x9",2
"21x9",2
"22x9",1
"23x9",1
"24x9",1
"25x9",1
"26x9",1
"27x9",1
"28x9",1
"29x9",1
"30x9",1
"31x9",1
"32x9",4
